0 0 117
0 2 119
0 4 122
0 6 124
0 8 126
0 10 128
0 12 130
0 14 133
0 16 135
0 18 138
0 20 140
0 22 143
0 24 145
0 26 148
0 28 150
0 30 153
0 32 155
0 34 158
0 36 160
0 38 163
0 40 166
0 42 168
0 44 171
0 46 174
0 48 176
0 50 178
0 52 181
0 54 183
0 56 185
0 58 186
0 60 188
0 62 189
0 64 191
0 66 192
0 68 193
0 70 194
0 72 196
0 74 197
0 76 198
0 78 199
0 80 200
0 82 201
0 84 201
0 86 201
0 88 201
0 90 200
0 92 200
1 94 199
1 96 197
1 98 196
2 100 193
2 102 191
2 104 188
3 106 184
4 108 181
4 110 177
5 112 172
5 114 167
6 116 163
7 118 158
8 120 154
8 122 150
9 124 145
10 126 140
12 128 134
14 130 128
16 132 123
19 134 117
22 136 110
25 138 103
29 140 97
34 142 89
39 144 82
44 146 74
49 148 69
54 150 63
59 152 57
64 154 52
69 156 47
73 158 43
79 160 38
83 162 34
88 164 30
92 166 27
97 168 24
102 170 21
106 172 18
111 173 15
115 174 13
119 176 11
123 177 10
127 178 8
130 179 7
134 180 6
138 181 5
141 182 4
145 183 3
149 184 2
153 185 1
156 186 1
160 187 1
164 188 1
167 189 1
170 190 0
174 191 1
178 192 1
181 192 1
185 193 1
187 193 1
190 194 2
193 194 2
195 194 2
198 194 3
200 193 3
202 193 3
204 193 4
206 192 4
207 192 4
209 192 4
210 191 5
211 191 5
212 190 5
213 190 6
214 189 6
215 188 6
216 188 7
217 187 7
218 186 7
219 185 8
220 184 8
221 183 9
222 181 9
222 180 10
223 178 10
224 177 10
225 175 11
225 174 12
226 172 12
227 170 13
227 167 14
228 165 15
229 163 15
229 160 16
229 158 17
230 155 18
230 153 18
230 151 19
231 149 19
231 147 20
231 144 20
231 142 21
231 139 22
231 136 22
231 133 23
231 130 24
231 126 25
231 122 27
231 118 28
231 113 29
231 109 31
231 104 32
231 99 33
231 94 34
231 89 35
231 84 37
231 79 38
231 74 39
231 69 40
231 65 42
231 60 43
231 56 44
231 51 46
231 47 47
231 43 49
231 39 50
231 36 51
231 34 52
231 31 53
231 29 54
231 27 55
231 26 56
231 25 57
231 24 59
231 24 60
231 23 61
231 23 63
231 22 65
231 22 67
231 23 69
231 25 71
231 27 73
231 29 74
231 31 76
231 34 78
231 37 80
231 41 81
231 45 83
231 50 85
231 54 87
231 59 89
231 63 90
231 68 92
231 72 93
231 76 95
231 80 97
231 84 98
231 88 100
231 91 102
231 95 104
231 98 106
231 102 108
231 105 110
231 109 112
231 113 114
231 117 116
231 122 119
231 126 121
231 131 123
231 135 125
231 139 128
231 143 130
231 148 133
231 153 136
231 157 138
231 162 141
231 166 144
231 170 147
231 174 150
231 178 153
231 182 156
231 185 160
231 188 163
231 191 167
231 194 170
231 197 173
231 200 177
231 203 181
231 206 184
231 209 188
231 212 191
231 215 194
231 219 198
231 222 201
231 226 205
231 229 208
231 232 211
231 236 215
231 239 218
231 243 222
231 246 225
231 250 229
231 253 232
231 253 236
231 253 239
231 253 243
231 255 246
