0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
7 0 8
17 0 16
24 0 24
34 0 34
41 0 42
51 0 51
58 0 59
68 0 67
75 0 76
85 0 84
92 0 94
102 0 102
109 0 110
120 0 120
128 0 128
137 0 136
145 0 146
154 0 154
162 0 163
171 0 171
179 0 179
188 0 188
196 0 196
206 0 206
213 0 214
223 0 222
230 0 231
239 0 239
248 0 248
241 0 244
237 0 239
233 0 231
228 0 223
225 0 214
222 0 205
219 0 197
216 0 188
213 0 180
210 0 171
207 0 163
205 0 154
201 0 144
199 0 137
195 0 127
193 0 120
189 0 110
187 0 103
184 0 93
181 0 86
178 0 76
175 0 67
172 0 59
170 0 50
166 0 42
164 0 33
160 0 25
158 0 16
154 0 8
152 0 0
156 8 0
158 17 0
160 26 0
163 33 0
167 43 0
169 50 0
171 59 0
174 67 0
178 76 0
181 85 0
184 93 0
186 102 0
190 110 0
193 119 0
196 127 0
199 136 0
202 144 0
205 153 0
208 161 0
211 169 0
214 179 0
218 186 0
221 195 0
224 203 0
227 212 0
230 220 0
233 229 0
236 235 0
243 243 0
240 240 0
235 235 0
229 229 0
220 223 0
213 218 0
204 212 0
195 206 0
186 202 0
177 195 0
169 190 0
161 185 0
152 178 0
144 173 0
136 168 0
127 161 0
120 156 0
109 151 0
101 146 0
93 140 0
84 134 0
76 129 0
68 123 0
59 117 0
51 112 0
43 106 0
33 102 0
25 96 0
16 89 0
8 85 0
0 79 0
0 84 9
0 89 15
0 94 24
0 100 31
0 104 39
0 111 47
0 116 56
0 121 62
0 126 71
0 131 80
0 136 86
0 142 95
0 147 103
0 152 111
0 158 118
0 162 126
0 168 133
0 173 142
0 178 148
0 184 158
0 189 167
0 194 173
0 199 182
0 205 189
0 209 197
0 215 204
0 220 213
0 225 220
0 231 229
0 235 235
0 247 244
0 243 241
0 237 235
0 231 229
0 223 225
0 214 222
0 207 218
0 199 213
0 191 209
0 182 207
0 175 202
0 167 198
0 159 194
0 150 191
0 143 187
0 135 183
0 126 180
0 118 176
0 112 173
0 104 169
0 96 166
0 88 162
0 80 158
0 71 155
0 64 151
0 56 147
0 48 142
0 39 140
0 32 135
0 24 131
0 16 127
0 7 124
0 0 120
2 1 124
4 3 128
5 5 130
7 7 134
8 8 137
10 10 141
11 11 143
13 13 147
15 15 151
17 16 155
18 18 157
20 20 161
22 22 165
23 23 169
24 24 170
26 26 174
28 28 178
30 30 182
32 32 184
34 34 188
35 35 192
37 37 196
39 39 199
40 40 201
42 41 205
43 43 209
44 45 211
47 47 215
53 53 217
61 61 218
66 67 219
74 75 220
81 81 222
88 89 223
95 94 224
103 102 225
108 109 227
115 116 228
122 122 229
130 130 230
137 136 232
144 144 233
149 150 234
157 158 235
164 164 237
171 172 238
178 178 239
186 186 240
191 192 242
198 200 243
205 206 244
213 214 245
220 219 247
227 227 248
232 234 249
240 241 250
247 247 252
253 253 254
